,Date,Hour,PM2_MIN,PM2_MAX,PM2_AVG
417,2019-09-15,1,11.0,14.0,12.0
418,2019-09-15,2,11.0,15.0,13.0
419,2019-09-15,3,11.0,15.0,13.0
420,2019-09-15,4,12.0,16.0,14.0
421,2019-09-15,5,12.0,16.0,14.0
422,2019-09-15,6,12.0,17.0,14.0
423,2019-09-15,7,12.0,18.0,15.0
424,2019-09-15,8,13.0,18.0,15.0
425,2019-09-15,9,13.0,19.0,16.0
426,2019-09-15,10,13.0,19.0,16.0
427,2019-09-15,11,13.0,19.0,16.0
428,2019-09-15,12,13.0,19.0,16.0
429,2019-09-15,13,14.0,19.0,16.0
430,2019-09-15,14,14.0,19.0,16.0
431,2019-09-15,15,14.0,19.0,16.0
432,2019-09-15,16,14.0,19.0,16.0
433,2019-09-15,17,14.0,19.0,16.0
434,2019-09-15,18,14.0,19.0,16.0
435,2019-09-15,19,14.0,19.0,16.0
436,2019-09-15,20,14.0,19.0,16.0
437,2019-09-15,21,14.0,19.0,16.0
438,2019-09-15,22,14.0,19.0,16.0
439,2019-09-15,23,14.0,19.0,16.0
440,2019-09-16,0,14.0,19.0,16.0
441,2019-09-16,1,15.0,19.0,17.0
442,2019-09-16,2,15.0,19.0,17.0
443,2019-09-16,3,16.0,19.0,17.0
444,2019-09-16,4,16.0,19.0,17.0
445,2019-09-16,5,15.0,19.0,17.0
446,2019-09-16,6,15.0,19.0,17.0
447,2019-09-16,7,15.0,19.0,17.0
448,2019-09-16,8,14.0,19.0,16.0
449,2019-09-16,9,14.0,19.0,16.0
450,2019-09-16,10,14.0,19.0,16.0
451,2019-09-16,11,14.0,18.0,16.0
452,2019-09-16,12,14.0,18.0,16.0
453,2019-09-16,13,14.0,18.0,16.0
454,2019-09-16,14,14.0,18.0,16.0
455,2019-09-16,15,14.0,18.0,16.0
456,2019-09-16,16,14.0,18.0,16.0
457,2019-09-16,17,14.0,18.0,16.0
458,2019-09-16,18,13.0,17.0,15.0
